"gene","stat"
"TXNDC15",2.1449285811153
"ANKRD13D",2.14461599273933
"GYG1",2.13744478662058
"SEPTIN7",2.13582591017056
"ITGA2",2.13478820919103
"ZNF688",2.13423625598194
"TTF1",2.1335043149078
"TLK2",2.13283029386151
"STYK1",2.1323732844534
"MUC13",2.13091238581156
"NAP1L4",2.1286674615684
"RFFL",2.12794897641178
"ANKRD49",2.12786691564834
"HSD17B6",2.12507991093319
"IGKV1-9",2.12058143738774
"HACE1",2.12012442951848
"RALA",2.11876157593335
"GEMIN7",2.11500422744042
"TTC26",2.11182995753565
"POP1",2.11177792725709
"CD2BP2",2.11105556310785
"STRIP1",2.1080614610809
"KIAA0513",2.10720238797331
"MOXD1",2.10354507969847
"SUGP1",2.09909919609452
"SDAD1",2.09570900018622
"HEATR1",2.0946971726842
"ANKRD36",2.09461642847894
"LMCD1",2.09431555939053
"TLCD1",2.09189964940467
"PITPNM1",2.09100902079506
"SLF1",2.08989767100717
"ECE1",2.08987802373435
"DCN",2.08736867669307
"SYTL2",2.08724512156352
"ST8SIA1",2.08225457441345
"RAB15",2.08129873317272
"ACTA2",2.07941795103945
"RTL10",2.07840696000815
"MUSTN1",2.07697552076344
"BRD8",2.07298268771162
"CDC14B",2.07151276551184
"CREBZF",2.07069155127105
"FAM76A",2.07050169564466
"TRAV12-2",2.06865351351418
"LAMP5",2.0682379331244
"THYN1",2.0680638395729
"NDUFA3",2.05925113920679
"SLC1A1",2.05894165079065
"SETD4",2.0588105945059
"NSUN5",2.05523821862491
"AC037459.2",2.05401800315754
"CYB561D2",2.05345199920622
"GLMN",2.05315214528824
"IGLV5-45",2.05036900712662
"IGKV3-15",2.0497505238549
"SPTAN1",2.04863337652346
"PEX26",2.0457996354067
"PLPP1",2.04536677781441
"IGFBP5",2.04377781598879
"ZNF564",2.04122278517999
"ITK",2.04053975649593
"CARHSP1",2.03926173202606
"ZNF461",2.0347244299243
"KPNA1",2.0330841917115
"ATG13",2.0323485704233
"SLC7A1",2.0315710603373
"METTL18",2.03023072465562
"U2AF1L5",2.03021965315658
"UPF1",2.03012152861275
"CLDN10",2.02844694505955
"MRPL20-AS1",2.02592691045886
"SPN",2.02489324149585
"SNX9",2.02475950445615
"E2F7",2.02445240921231
"CASP8",2.02444908840799
"ORC5",2.02395368311609
"DEPDC1B",2.02350672839298
"IGHJ6",2.02146767159258
"WRAP73",2.01905704785632
