"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.57201633076675e-192,1.39905926847817,0.44,0.181,1.10245029783779e-187,"1","GNPDA1"
2.50547619904875e-190,1.11420239280771,0.394,0.144,6.04145475876626e-186,"1","EBI3"
2.35374119908567e-187,2.1810410302778,0.302,0.093,5.67557615335527e-183,"1","EGR2"
4.43767010996661e-187,1.08861753544831,0.563,0.285,1.07005539361625e-182,"1","MPEG1"
4.56039458081949e-187,1.62961609986886,0.289,0.081,1.099647945273e-182,"1","SIGLEC1"
5.29243125571152e-186,1.03729656224168,0.624,0.34,1.27616394868972e-181,"1","CFD"
4.52287318555979e-181,1.16312343369797,0.466,0.202,1.09060041123403e-176,"1","FRMD4B"
2.88016579673153e-180,0.682171171217668,0.912,0.8,6.94494378565875e-176,"1","RNASET2"
1.08031969328592e-179,1.54268012679284,0.353,0.125,2.60497487642034e-175,"1","PLXND1"
1.2991834195147e-179,1.18613329722357,0.561,0.297,3.13272097947579e-175,"1","PTMS"
4.92018362216735e-179,0.924151269795752,0.662,0.376,1.18640387681321e-174,"1","LAIR1"
7.10234823829468e-179,1.43295013511096,0.395,0.155,1.7125892307e-174,"1","NFIC"
2.23079040997658e-177,0.962134853524773,0.757,0.508,5.37910491557653e-173,"1","RGS1"
6.81964025427041e-174,1.78599162612096,0.267,0.074,1.64441985451222e-169,"1","ABCC5"
2.08071561273977e-173,1.32059682363261,0.442,0.195,5.01722955699942e-169,"1","FEZ2"
6.52585224842624e-173,0.567513813937224,0.98,0.868,1.57357875266302e-168,"1","FCER1G"
7.58602996830758e-173,1.39313811222188,0.362,0.133,1.82921940625801e-168,"1","IDH1"
1.21594254875957e-172,1.78887799725154,0.283,0.086,2.93200226782394e-168,"1","MITF"
5.44215130479027e-171,0.972273580416829,0.681,0.441,1.31226594412408e-166,"1","CD4"
9.55987299701109e-171,0.913856596095396,0.686,0.42,2.30517217576928e-166,"1","RAB20"
7.89542339232294e-169,1.31334120968455,0.43,0.187,1.90382344259083e-164,"1","TTYH3"
1.69367645830345e-168,0.991537507016495,0.599,0.323,4.08396204390712e-164,"1","LAMP1"
3.93426034032114e-166,1.02179339482791,0.606,0.32,9.48668195861637e-162,"1","CD81"
2.50160612782705e-165,0.826370211987571,0.758,0.52,6.03212285602935e-161,"1","CSF1R"
4.07387337868775e-163,1.16771674747808,0.532,0.28,9.82333087802976e-159,"1","CD72"
2.83781514854523e-161,1.053423014312,0.643,0.409,6.84282366768711e-157,"1","ATOX1"
2.94315831281439e-161,0.969827784370601,0.68,0.438,7.09683763968935e-157,"1","IL18"
1.29901845916263e-160,0.932729490435883,0.624,0.366,3.13232321057884e-156,"1","RASSF4"
3.786105247492e-158,1.39065566231019,0.379,0.154,9.12943558327747e-154,"1","FMNL2"
9.69706421688043e-158,0.811718582181138,0.748,0.538,2.33825309461638e-153,"1","BST2"
4.80534220276859e-156,0.816989940977604,0.742,0.539,1.15871216535359e-151,"1","CLTA"
1.62431193877223e-155,1.17752294255131,0.491,0.246,3.91670337796147e-151,"1","SLAMF8"
8.7507866015145e-155,1.06564998423759,0.517,0.266,2.11007717322319e-150,"1","GAA"
2.73309804349031e-154,1.44615536513658,0.402,0.181,6.59031931226818e-150,"1","EPB41L2"
3.10616896280138e-154,1.10664058552299,0.582,0.341,7.48990522000297e-150,"1","NEU1"
4.70955538117464e-153,0.735272477317142,0.805,0.603,1.13561508906264e-148,"1","ARL6IP1"
1.12236712138649e-152,1.47491364594386,0.341,0.132,2.70636383979925e-148,"1","AXL"
1.21084898663598e-152,1.33896514855208,0.402,0.177,2.91972016147534e-148,"1","SULT1A1"
