"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HLA-DOA",391.753773272051,-1.17118649930136,0.397463013180364,-2.94665531247782,0.003212310558171,0.230479402946646
"FCGBP",21.6797231589665,-1.99136507725961,0.677589268840534,-2.93889701155859,0.00329382504229004,0.235191776577364
"AL357874.1",45.0975815210918,-2.27286054740814,0.774353567083155,-2.93517153407013,0.00333363345263372,0.23521033030511
"ARL3",415.355853790744,1.12013282246661,0.381690529002459,2.93466234384715,0.00333910828510322,0.23521033030511
"FMO3",16.3644898800971,5.90992908061261,2.01399473314283,2.93443124917719,0.00334159572410304,0.23521033030511
"BTK",217.172542056212,-1.48848518106755,0.50821275531881,-2.92886230321748,0.0034020509564966,0.237226336370219
"KCNE1",92.3519578348918,-2.1073691666484,0.719520952106498,-2.92885031419694,0.00340218217390632,0.237226336370219
"IRF5",184.019846832397,-0.966527184458192,0.330480259814569,-2.92461396938052,0.00344883763075854,0.23935577800012
"SLC7A7",260.438019329789,-1.49423220892087,0.511712638121885,-2.92006117809612,0.0034996267683568,0.241423545551135
"PRG4",11.9956823878753,3.01639983680148,1.03335433883872,2.91903727833697,0.00351114232689504,0.241423545551135
"PMEPA1",1262.45577060587,0.744760669531417,0.25549809953848,2.91493623974784,0.00355761217006047,0.243467798742345
"FFAR2",19.5775745015336,-2.77901512950432,0.953830500900684,-2.91353141557137,0.00357365877496843,0.243467798742345
"NCAM1",136.13306643396,-1.40665503124788,0.483429425850079,-2.90974226232582,0.00361726920902004,0.244992907747234
"LRRK2",115.373141840584,-1.48352771206619,0.510026447887632,-2.90872702427589,0.00362903580018795,0.244992907747234
"CCP110",450.907859071512,0.687269333491336,0.236600195707417,2.90477077348332,0.00367522153643112,0.245071552526114
"FAM102A",1391.86995707536,0.794244691582728,0.273433478355667,2.90470902231518,0.00367594664390432,0.245071552526114
"RBPJ",2620.0675400776,0.92240916726665,0.317662784401533,2.90373695805897,0.00368737817315058,0.245071552526114
"DRAM2",587.754707010663,-0.799097406262625,0.275267180717456,-2.90298830459868,0.00369620440114796,0.245071552526114
"OSM",304.556613983777,-1.27143423585872,0.439007167851782,-2.89615826110607,0.00377761836094689,0.248457749079203
"HSD17B4",320.722848231839,-1.00662679607938,0.347604176043231,-2.89589960494084,0.0037807333215661,0.248457749079203
"TREM2",386.685391826403,-1.97706289078635,0.683488468602879,-2.89260606667976,0.0038206015596063,0.249971693230277
"LILRA6",39.9254081837063,-2.135469742386,0.73903950908044,-2.88952040607828,0.00385829964451366,0.251330992632969
"CHST12",1060.11589391773,1.17145770697573,0.405707816783439,2.88744179558423,0.00388388457057085,0.251617550228195
"TRBV7-4",28.6398491830333,1.8302976090776,0.634107611738616,2.8864148217039,0.00389658204635637,0.251617550228195
"LINC01644",76.026282643954,-2.16952359499755,0.753595372896231,-2.87889718146702,0.00399068417032399,0.255719481899967
"OTUD1",389.533641566627,-1.10464824793475,0.383745957927049,-2.87859253007362,0.00399454078917266,0.255719481899967
"ALOXE3",31.3698924644863,-2.06033567490962,0.716980738788699,-2.87362764917569,0.00405787059473828,0.258578511613651
"IL18BP",406.853587364623,-1.49735881410636,0.521296840791296,-2.87237270004066,0.00407402179622908,0.258578511613651
"ERFL",104.923714707296,1.67705920297495,0.58426143676075,2.87039174153417,0.00409963551260051,0.259096964396352
"SNCG",13.7669978693069,4.64401463708866,1.62038661391828,2.86599173135534,0.00415705103498216,0.261612381235403
"DNAJC5B",34.8625610114594,-2.18519003366543,0.764040664557979,-2.86004415083016,0.00423582032266908,0.264530868318598
"ZNF260",211.505121093468,0.797293025416848,0.278793031804913,2.85980255767209,0.00423904838808418,0.264530868318598
"SCUBE1",78.3954745056805,2.70378317362449,0.946827390006242,2.85562416356234,0.00429523246019843,0.266915449786055
